cohort_month,month_number,active_users,cohort_size,retention_rate
2025-03-01T00:00:00.000Z,0,1224,1224,100.00
2025-03-01T00:00:00.000Z,1,162,1224,13.24
2025-03-01T00:00:00.000Z,2,165,1224,13.48
2025-03-01T00:00:00.000Z,3,158,1224,12.91
2025-03-01T00:00:00.000Z,4,179,1224,14.62
2025-03-01T00:00:00.000Z,5,163,1224,13.32
2025-03-01T00:00:00.000Z,6,148,1224,12.09
2025-04-01T00:00:00.000Z,0,1039,1039,100.00
2025-04-01T00:00:00.000Z,1,137,1039,13.19
2025-04-01T00:00:00.000Z,2,131,1039,12.61
2025-04-01T00:00:00.000Z,3,152,1039,14.63
2025-04-01T00:00:00.000Z,4,145,1039,13.96
2025-04-01T00:00:00.000Z,5,126,1039,12.13
2025-04-01T00:00:00.000Z,6,133,1039,12.80
2025-05-01T00:00:00.000Z,0,923,923,100.00
2025-05-01T00:00:00.000Z,1,120,923,13.00
2025-05-01T00:00:00.000Z,2,136,923,14.73
2025-05-01T00:00:00.000Z,3,103,923,11.16
2025-05-01T00:00:00.000Z,4,121,923,13.11
2025-05-01T00:00:00.000Z,5,108,923,11.70
2025-05-01T00:00:00.000Z,6,116,923,12.57
2025-06-01T00:00:00.000Z,0,812,812,100.00
2025-06-01T00:00:00.000Z,1,112,812,13.79
2025-06-01T00:00:00.000Z,2,97,812,11.95
2025-06-01T00:00:00.000Z,3,121,812,14.90
2025-06-01T00:00:00.000Z,4,107,812,13.18
2025-06-01T00:00:00.000Z,5,102,812,12.56
2025-06-01T00:00:00.000Z,6,98,812,12.07
2025-07-01T00:00:00.000Z,0,716,716,100.00
2025-07-01T00:00:00.000Z,1,95,716,13.27
2025-07-01T00:00:00.000Z,2,95,716,13.27
2025-07-01T00:00:00.000Z,3,84,716,11.73
2025-07-01T00:00:00.000Z,4,69,716,9.64
2025-07-01T00:00:00.000Z,5,82,716,11.45
2025-07-01T00:00:00.000Z,6,94,716,13.13
2025-08-01T00:00:00.000Z,0,647,647,100.00
2025-08-01T00:00:00.000Z,1,79,647,12.21
2025-08-01T00:00:00.000Z,2,70,647,10.82
2025-08-01T00:00:00.000Z,3,75,647,11.59
2025-08-01T00:00:00.000Z,4,92,647,14.22
2025-08-01T00:00:00.000Z,5,88,647,13.60
2025-08-01T00:00:00.000Z,6,73,647,11.28
2025-09-01T00:00:00.000Z,0,535,535,100.00
2025-09-01T00:00:00.000Z,1,68,535,12.71
2025-09-01T00:00:00.000Z,2,66,535,12.34
2025-09-01T00:00:00.000Z,3,63,535,11.78
2025-09-01T00:00:00.000Z,4,62,535,11.59
2025-09-01T00:00:00.000Z,5,69,535,12.90
2025-10-01T00:00:00.000Z,0,508,508,100.00
2025-10-01T00:00:00.000Z,1,67,508,13.19
2025-10-01T00:00:00.000Z,2,76,508,14.96
2025-10-01T00:00:00.000Z,3,59,508,11.61
2025-10-01T00:00:00.000Z,4,59,508,11.61
2025-11-01T00:00:00.000Z,0,438,438,100.00
2025-11-01T00:00:00.000Z,1,63,438,14.38
2025-11-01T00:00:00.000Z,2,59,438,13.47
2025-11-01T00:00:00.000Z,3,58,438,13.24
2025-12-01T00:00:00.000Z,0,400,400,100.00
2025-12-01T00:00:00.000Z,1,64,400,16.00
2025-12-01T00:00:00.000Z,2,38,400,9.50
2026-01-01T00:00:00.000Z,0,336,336,100.00
2026-01-01T00:00:00.000Z,1,51,336,15.18
2026-02-01T00:00:00.000Z,0,246,246,100.00
