customer_id,signup_timestamp,acquisition_channel,country,city,gender,age_group
2,2025-06-15T12:52:29.689Z,Paid Ads,India,Lake Paulborough,Male,45+
18,2025-08-15T12:52:29.689Z,Referral,India,Port Melissafurt,Male,35-44
32,2026-01-12T12:52:29.689Z,Paid Ads,India,West Julia,Female,18-24
33,2025-11-09T12:52:29.689Z,Influencer,India,East Katie,Other,45+
39,2025-10-12T12:52:29.689Z,Paid Ads,India,West April,Female,45+
41,2026-01-16T12:52:29.689Z,Organic,India,Garrisonmouth,Other,25-34
42,2025-11-11T12:52:29.689Z,Organic,India,North Juliashire,Other,35-44
44,2025-10-22T12:52:29.689Z,Paid Ads,India,Pughbury,Male,45+
50,2025-12-28T12:52:29.689Z,Email,India,Hoffmanhaven,Male,25-34
65,2025-11-30T12:52:29.689Z,Influencer,India,Ginaville,Other,35-44
83,2025-06-22T12:52:29.689Z,Influencer,India,Michelleview,Female,25-34
92,2025-07-20T12:52:29.689Z,Referral,India,New Travis,Male,25-34
116,2025-10-12T12:52:29.689Z,Email,India,Lopezshire,Female,35-44
119,2025-11-12T12:52:29.689Z,Paid Ads,India,Moonmouth,Other,35-44
144,2025-04-11T12:52:29.689Z,Email,India,Mccarthystad,Female,18-24
149,2025-07-10T12:52:29.689Z,Referral,India,South Malik,Male,25-34
150,2025-03-04T12:52:29.689Z,Organic,India,South Stephanie,Other,45+
155,2025-09-01T12:52:29.689Z,Organic,India,Jeffreyside,Other,18-24
184,2025-11-01T12:52:29.689Z,Influencer,India,West Robert,Male,18-24
186,2026-01-31T12:52:29.689Z,Organic,India,Lopezfurt,Other,18-24
190,2025-07-26T12:52:29.689Z,Paid Ads,India,Barbarahaven,Female,25-34
196,2025-10-02T12:52:29.689Z,Organic,India,New Ralph,Other,45+
198,2025-03-22T12:52:29.689Z,Email,India,New Annette,Male,25-34
199,2025-09-03T12:52:29.689Z,Influencer,India,Edwardsburgh,Other,18-24
221,2025-06-23T12:52:29.689Z,Influencer,India,Aliciaside,Male,18-24
223,2025-06-30T12:52:29.689Z,Email,India,Hatfieldside,Other,18-24
228,2025-09-14T12:52:29.689Z,Influencer,India,Markland,Male,18-24
235,2025-12-21T12:52:29.689Z,Influencer,India,Joanmouth,Female,35-44
238,2025-10-11T12:52:29.689Z,Paid Ads,India,West Amanda,Other,35-44
242,2025-08-14T12:52:29.689Z,Referral,India,Brittanyport,Male,35-44
