order_item_id,order_id,product_id,category,subcategory,product_price,quantity,is_discounted,product_version
6,5667,786,Sports,D,1129.84,2,1,New
20,144281,272,Beauty,A,1981.02,3,0,New
33,50208,610,Home,B,2346.32,1,0,New
34,144824,656,Sports,E,1661.5,2,0,Old
38,66337,417,Fashion,C,2574.53,1,1,New
46,66441,298,Sports,C,2366.47,1,1,New
52,44973,413,Beauty,B,1826.4,1,1,Old
59,161889,649,Electronics,D,799.2,2,0,Old
68,105406,716,Fashion,A,521.52,3,0,Old
70,14200,309,Beauty,E,871.49,1,0,Old
75,131832,536,Beauty,B,2652.17,2,0,Old
123,17448,754,Beauty,C,655.21,2,0,New
152,62104,759,Fashion,D,745.03,1,0,Old
153,127881,512,Electronics,E,1703.76,2,1,Old
174,181431,61,Electronics,D,308.13,3,1,Old
184,138501,315,Electronics,D,1500.16,1,1,Old
186,193284,249,Electronics,B,1570.45,3,0,New
187,167531,318,Beauty,D,1631.69,1,1,Old
225,89093,439,Home,C,485.38,2,1,Old
248,60569,2,Fashion,B,789.3,2,0,New
251,130885,278,Sports,B,2300.51,1,0,Old
274,133927,190,Electronics,E,1060.89,1,0,Old
285,28358,271,Fashion,E,2005.24,3,0,Old
287,19041,738,Electronics,D,197.75,2,1,Old
298,158026,143,Sports,A,2607.59,1,0,New
299,125717,321,Beauty,C,947.8,1,0,Old
301,40626,799,Fashion,E,767.61,1,0,Old
305,179864,165,Home,D,883.11,1,0,Old
314,93035,12,Beauty,A,2444.67,2,0,Old
319,66816,273,Electronics,D,305.4,2,0,New
339,183784,427,Electronics,E,1050.46,2,0,Old
365,13922,470,Electronics,A,337.04,2,0,New
368,11520,311,Beauty,A,362.62,2,0,New
371,123448,673,Beauty,A,341.63,3,0,New
382,128745,714,Home,B,1222.99,3,1,Old
386,75422,376,Sports,C,2477.59,1,0,Old
394,77814,589,Beauty,C,1519.39,2,0,Old
397,107506,291,Electronics,C,1809.26,2,1,Old
434,183045,714,Sports,C,1783.36,2,1,New
457,179361,71,Home,D,2929.48,2,0,Old
458,192406,294,Beauty,C,780.48,2,1,Old
464,52284,660,Sports,A,1582.93,1,0,Old
476,188092,322,Fashion,B,2775.62,1,0,Old
481,197537,239,Sports,E,1606.87,3,1,Old
494,83667,35,Home,E,1169.34,3,1,Old
497,88708,512,Electronics,D,1890.63,2,1,New
500,51028,731,Electronics,A,2735.83,2,0,Old
501,181566,46,Fashion,A,1595.06,1,0,New
508,79710,176,Fashion,E,2332.77,2,0,Old
522,74583,769,Beauty,A,2413.23,3,0,New
525,155948,414,Fashion,E,1387.09,3,0,Old
530,82640,256,Beauty,C,1456.36,1,1,Old
542,3464,352,Home,D,2142.67,2,0,Old
581,154794,2,Home,A,1448.09,2,0,Old
588,37054,153,Beauty,B,2416.14,2,0,Old
593,73058,480,Fashion,D,1421.51,3,1,Old
610,157959,401,Home,D,2024.39,2,1,Old
626,42388,113,Fashion,D,2073.92,3,1,Old
627,72295,321,Sports,B,2990.7,1,0,Old
633,77758,67,Sports,E,216.29,3,1,Old
639,154830,423,Home,C,1198.58,2,0,New
675,34275,615,Fashion,A,1382.98,3,0,Old
687,7092,772,Home,B,2315.87,3,0,Old
689,90542,366,Electronics,A,1439.28,3,1,Old
694,88699,741,Home,C,2143.48,1,1,Old
695,190962,240,Beauty,C,1085.23,3,1,Old
718,52959,616,Electronics,B,1203.77,2,0,Old
736,101635,490,Fashion,A,764.25,3,0,Old
737,177919,258,Beauty,B,730.22,2,0,Old
749,127971,390,Sports,C,2717.23,1,1,New
760,40541,548,Sports,B,2643.91,3,0,Old
774,79325,271,Home,B,1883.14,3,1,Old
780,61191,208,Fashion,D,1884.77,2,0,Old
786,128164,177,Fashion,A,2727.95,1,0,Old
803,51236,578,Fashion,E,961.75,1,0,Old
811,107394,637,Beauty,E,253.56,2,1,Old
815,170360,134,Home,E,2233.69,2,1,Old
855,60668,487,Beauty,D,2983.73,1,1,Old
864,135599,741,Home,A,2674.01,3,0,Old
865,61792,139,Fashion,D,2218.29,2,0,Old
882,199008,111,Electronics,D,1911.46,3,0,New
888,57950,594,Home,B,2874.31,2,0,Old
915,45465,84,Sports,C,1689.57,3,0,New
917,120883,35,Sports,D,2126.02,2,0,Old
918,34789,481,Fashion,C,2978.04,1,0,New
926,182642,103,Beauty,A,1530,1,0,Old
968,26461,212,Beauty,B,2652.25,3,1,Old
969,69495,754,Sports,E,1460.49,1,0,New
982,37561,739,Electronics,A,1063.47,3,0,New
999,189289,66,Fashion,A,2669.8,1,1,New
1003,80074,210,Electronics,B,1784.4,1,1,New
1022,25551,532,Beauty,D,2989.26,1,1,Old
1046,129245,797,Fashion,E,2066.67,2,0,New
1050,145339,67,Electronics,B,200.3,2,1,Old
1078,5909,597,Beauty,B,1124.94,3,1,Old
1101,169401,185,Electronics,A,1456.4,2,0,Old
1113,93924,712,Home,B,2086.74,2,1,New
1143,1002,90,Fashion,B,359.1,2,1,Old
1146,188029,746,Home,B,1948.34,2,0,New
1158,114920,309,Electronics,B,664.53,1,0,New
1163,28958,666,Home,E,2331,3,0,New
1170,56552,226,Fashion,E,2173.81,2,1,Old
1171,53024,200,Fashion,C,222.78,3,0,New
1188,170569,15,Sports,D,2510.47,3,1,New
1189,42312,138,Home,A,1075.71,3,1,Old
1199,197308,674,Beauty,B,1018.01,1,0,New
1223,1817,755,Electronics,C,212.19,1,1,New
1231,14022,63,Electronics,B,388.41,2,0,Old
1247,119232,311,Electronics,D,1894.09,3,0,New
1255,92935,120,Fashion,B,361.33,2,1,Old
1263,194592,286,Fashion,B,1457.5,2,0,Old
1278,81525,496,Electronics,B,490.05,3,0,Old
1299,21605,721,Sports,C,2960.43,2,0,Old
1302,161375,787,Fashion,A,895.22,1,0,New
1308,191137,85,Fashion,D,2408.17,2,0,Old
1310,66170,394,Sports,E,214.86,3,0,Old
1340,65235,564,Home,E,1447.45,1,0,Old
1349,59503,659,Electronics,C,2823.61,1,1,Old
1353,76654,466,Fashion,A,1372.67,1,0,Old
1358,118160,639,Home,D,2792.62,2,1,New
1368,85802,668,Home,E,1189.11,3,0,New
1374,187426,61,Beauty,B,1497.96,2,0,New
1379,69824,697,Beauty,B,1454.95,2,0,Old
1385,173399,134,Beauty,D,1246.81,1,1,Old
1394,47555,610,Sports,D,1866.8,1,1,Old
1408,89391,252,Fashion,E,1717.1,2,1,Old
1412,66899,97,Beauty,C,2445.56,2,0,New
1425,37813,334,Electronics,E,785.32,3,0,Old
1432,175363,305,Sports,A,1568.84,2,1,Old
1449,96964,184,Home,E,596.98,3,0,New
1459,75030,340,Sports,B,1143.86,1,1,Old
1472,146202,23,Sports,E,446.66,2,0,Old
1476,34977,236,Home,E,751.07,3,1,Old
1483,13733,282,Fashion,B,743.51,2,1,Old
1503,197185,199,Beauty,E,795.4,2,0,Old
1510,164559,470,Sports,E,1869.63,1,1,Old
1511,149828,744,Beauty,C,2497.41,3,0,Old
1525,177985,458,Fashion,C,2571.68,1,0,Old
1527,165322,124,Sports,B,2196.97,3,1,Old
1539,138493,308,Sports,E,1859.36,1,1,New
1552,85467,622,Home,E,480.67,1,1,New
1582,114032,629,Beauty,A,1529.03,1,1,Old
1591,141987,483,Sports,B,2411.83,1,0,Old
1598,154400,504,Electronics,A,1469.53,3,0,Old
1601,18273,280,Fashion,E,877.37,3,0,Old
1602,65136,349,Home,B,2724.22,2,1,Old
1603,20216,116,Home,E,1761.86,1,0,New
1604,78650,294,Beauty,D,2171.86,3,0,Old
1628,140438,368,Home,E,235.45,2,1,Old
1643,174562,689,Fashion,C,1659.3,3,0,New
1700,13418,771,Sports,A,1643.7,1,1,Old
1702,193637,699,Beauty,B,555.2,1,0,Old
1707,30667,732,Beauty,D,2197.34,2,0,Old
1720,163983,51,Beauty,E,967.54,2,0,Old
1724,138419,759,Sports,A,2216.86,3,1,Old
1733,157467,465,Fashion,B,1715.55,1,1,Old
1736,38372,761,Sports,E,236.65,2,1,New
1753,187017,377,Sports,E,452.58,1,0,Old
1754,117808,161,Sports,C,1617.44,3,0,Old
1764,117151,709,Sports,A,2580.34,3,0,New
1785,135827,4,Sports,A,1462.24,1,0,New
1802,16486,441,Electronics,C,1213.6,1,0,Old
1805,23640,774,Home,B,2312.43,2,0,New
1814,70719,713,Electronics,B,2133.16,3,0,New
1816,84045,717,Electronics,B,1336.23,2,0,Old
1819,110570,570,Home,A,1261.54,1,0,Old
1834,58763,439,Beauty,A,2896.15,2,0,Old
1847,62908,125,Fashion,C,2951.65,2,1,Old
1849,166880,396,Home,B,2314.34,2,0,Old
1853,11892,348,Electronics,B,2827,1,1,New
1855,65374,228,Electronics,B,298.58,3,1,Old
1857,9384,638,Home,A,2743.05,2,0,Old
1869,178681,458,Beauty,E,1123.84,1,0,Old
1882,55727,740,Beauty,C,1943.26,1,1,New
1888,119232,660,Fashion,D,2830.35,1,1,Old
1889,79344,424,Home,A,302.04,2,1,Old
1896,3252,138,Beauty,A,225.57,1,0,Old
1927,195367,49,Home,A,935.87,3,0,Old
1934,19922,734,Electronics,C,2686.82,3,0,New
1956,94569,204,Home,A,1905.43,1,0,New
1958,115930,314,Fashion,A,1599.57,2,0,New
1963,12935,127,Beauty,B,2357.05,1,1,Old
1965,151494,203,Beauty,C,2702.7,3,1,Old
1983,126960,606,Electronics,C,2658.04,3,0,New
2001,126468,50,Fashion,C,411.01,1,0,Old
2008,79896,726,Fashion,C,1548.77,1,1,Old
2010,41163,678,Sports,E,1386.41,3,0,New
2017,76654,388,Beauty,C,1871.08,3,0,New
2024,33077,570,Home,D,935.44,3,0,Old
2057,188944,193,Sports,B,1799.69,1,1,Old
2063,163638,199,Beauty,A,2830.35,1,0,New
2064,123046,559,Fashion,B,1689.92,3,0,Old
2066,62027,230,Home,A,2703.19,3,1,New
2067,179121,117,Electronics,C,2522.38,3,1,Old
2071,113421,687,Electronics,D,2507.9,1,1,Old
2075,126816,293,Sports,C,2134.67,1,0,New
2077,133100,305,Electronics,A,2631.72,3,1,Old
2093,159076,519,Fashion,C,298.45,2,1,Old
2103,133565,469,Sports,B,2499.26,1,1,Old
2106,191146,387,Fashion,A,206.69,1,0,Old
2110,78211,141,Sports,E,758.22,2,0,New
2113,98801,184,Home,A,2018.95,3,0,Old
2120,31339,396,Sports,A,2935.57,1,0,Old
2133,128433,10,Sports,D,2733.52,3,0,Old
2135,25486,586,Beauty,D,1508.16,3,0,Old
2201,4511,39,Electronics,E,1096.44,1,0,New
2203,59765,535,Beauty,B,665.23,1,0,Old
2215,38034,758,Beauty,C,779.66,2,0,New
2216,150114,242,Home,C,1457.6,3,0,New
2236,49615,472,Home,D,415.38,3,0,New
2251,103702,490,Home,B,1535.71,3,1,Old
2254,90424,212,Sports,D,820.7,2,1,Old
2256,87570,316,Fashion,E,2380.85,1,1,Old
2258,41180,211,Home,C,411.65,3,0,Old
2269,197847,718,Sports,B,2242.23,2,1,Old
2284,91694,402,Beauty,B,481,3,0,Old
2286,184626,660,Sports,A,1891.34,1,0,New
2312,42282,621,Beauty,B,1893.5,1,0,New
2313,80880,628,Sports,B,1018.65,3,1,Old
2321,144656,114,Sports,D,2778.69,1,1,Old
2379,1905,711,Fashion,C,426.03,1,1,Old
2387,26800,552,Fashion,B,1345.53,2,0,Old
2390,68750,720,Sports,E,1952.28,3,0,New
2395,47812,72,Fashion,C,2643.13,3,0,Old
2404,95714,405,Beauty,A,1314.57,3,0,New
2407,177957,571,Electronics,B,2992.08,3,0,Old
2416,25235,344,Sports,D,1985.2,3,0,Old
2420,159635,485,Fashion,D,2222.24,1,0,New
2450,20902,511,Home,C,944.5,3,0,New
2468,98548,280,Home,A,2444.59,3,0,New
2483,80656,601,Home,D,400.31,2,0,Old
2487,163978,438,Electronics,C,2661.16,3,0,New
2515,176657,574,Sports,A,1588.24,2,1,New
2553,79872,167,Beauty,D,192.76,2,0,Old
2556,174283,553,Beauty,A,383.47,2,0,Old
2559,26889,740,Beauty,A,802.43,3,1,Old
2560,197377,412,Electronics,B,2324,2,0,Old
2587,64392,215,Sports,C,2967.33,1,0,Old
2612,182218,8,Home,D,765.86,3,0,Old
2629,144954,520,Electronics,C,1572.15,2,1,Old
2631,22736,162,Fashion,A,2512.34,1,0,New
2654,16,652,Fashion,D,416.1,1,0,New
2656,190291,153,Fashion,E,1260.84,2,0,Old
2659,40539,396,Home,C,897.43,3,0,Old
2678,28267,798,Electronics,B,918.05,1,1,New
2705,47005,706,Home,D,1327.34,2,0,Old
2711,69884,127,Beauty,C,2042.63,2,0,New
2718,41678,319,Electronics,B,2105.66,3,0,New
2724,174612,511,Beauty,C,2998.91,2,0,New
2726,127492,643,Sports,D,190.25,2,0,Old
2729,161605,180,Sports,C,1438.98,2,1,Old
2731,73882,358,Home,D,191.06,2,0,Old
2733,8095,674,Home,C,643.43,1,0,Old
2743,77572,665,Fashion,A,1555.91,1,1,Old
2756,59753,444,Electronics,B,1275.52,2,0,New
2782,185255,191,Electronics,E,234.43,3,0,Old
2788,140486,535,Fashion,A,1931.75,1,0,New
2792,121256,705,Beauty,B,2977.85,1,0,Old
2798,187836,646,Beauty,B,1267.62,3,0,Old
2806,95498,180,Electronics,C,1651.75,1,0,Old
2812,103782,514,Sports,E,1051.94,1,1,Old
2825,16794,603,Beauty,B,2247.24,1,0,Old
2835,169677,87,Beauty,E,2739.83,2,1,Old
2860,68881,401,Sports,A,2772.56,2,0,Old
2866,164402,380,Beauty,A,1825.42,1,0,Old
2894,167758,789,Home,B,1694.47,1,0,Old
2898,179210,365,Sports,A,682.97,2,1,New
2914,128299,671,Electronics,E,1763.83,2,0,Old
2961,917,315,Home,A,2253.66,3,0,New
2975,135618,292,Beauty,C,2921.26,2,0,New
2982,157483,277,Fashion,A,1417.15,3,0,New
2984,161442,636,Sports,A,909.39,3,0,New
3002,158239,448,Home,A,990.58,3,1,Old
3004,189197,176,Electronics,B,2654.61,3,1,New
3013,138050,749,Electronics,D,1816.89,2,0,Old
3022,108732,721,Fashion,A,2831.36,3,1,Old
3036,154931,278,Beauty,A,1178.4,3,0,Old
3037,186097,334,Fashion,A,1439.89,3,1,New
3046,5717,294,Sports,A,836.28,1,0,Old
3095,22078,168,Sports,C,2548.97,1,1,Old
3107,69345,783,Beauty,E,2641.52,2,0,New
3112,62524,13,Fashion,A,1550.74,1,0,New
3143,33562,294,Beauty,B,2240.92,3,0,Old
3161,117686,155,Home,C,1873.07,3,0,Old
3196,54633,781,Electronics,C,2812.5,2,1,Old
3200,33765,218,Home,B,1595.06,2,0,New
3202,117894,593,Electronics,D,2756.38,2,0,Old
3211,63612,278,Sports,B,986.08,3,0,Old
3213,65972,612,Home,C,1910.8,2,0,Old
3216,124937,696,Beauty,E,2155.5,1,1,New
3225,141642,559,Beauty,B,2746.77,2,1,New
3230,45422,357,Beauty,B,2205.16,2,0,Old
3232,93073,174,Electronics,C,442.15,3,0,Old
3245,94110,714,Electronics,D,375.31,3,0,New
3251,45934,382,Electronics,E,2671.9,2,1,Old
3267,37299,303,Home,E,2020.41,2,1,Old
3281,179560,251,Sports,B,1593.89,1,0,Old
3283,177985,88,Sports,A,2376.87,3,1,Old
3286,124172,23,Electronics,A,2439.48,3,1,Old
3287,128762,348,Fashion,B,509.98,1,1,New
3289,100592,258,Electronics,A,866.73,1,0,New
3298,108472,56,Beauty,D,169.56,2,0,Old
