order_id,customer_id,order_timestamp,order_value,discount_amount,payment_method,promised_delivery_days,actual_delivery_days,order_status
16,1809,2025-09-05T12:52:36.629Z,2431.14,146.67,Wallet,3,4,Delivered
54,40678,2025-04-05T12:52:36.629Z,4874.71,122.17,Credit Card,5,7,Delivered
67,45622,2025-09-04T12:52:36.629Z,4733.13,461.29,COD,4,6,Delivered
72,3222,2025-11-07T12:52:36.629Z,3256.7,444.77,Wallet,5,5,Delivered
86,1827,2026-01-12T12:52:36.629Z,4557.31,104.23,Wallet,2,2,Delivered
89,13383,2025-04-21T12:52:36.629Z,550.54,161.36,Wallet,4,5,Delivered
102,21946,2025-03-29T12:52:36.629Z,4961.82,184.59,COD,4,7,Delivered
115,17225,2025-06-16T12:52:36.629Z,2053.89,352.53,UPI,3,5,Delivered
123,11142,2025-06-16T12:52:36.629Z,4720.94,12.38,Wallet,2,3,Delivered
130,16877,2025-11-15T12:52:36.629Z,1700.99,264.18,Wallet,5,5,Delivered
131,48859,2025-06-24T12:52:36.629Z,4467.81,369.93,Credit Card,5,6,Delivered
162,34236,2025-03-14T12:52:36.629Z,294.13,7.32,COD,5,7,Delivered
165,3649,2025-03-02T12:52:36.629Z,3482.77,288.83,Credit Card,2,3,Delivered
179,12830,2025-06-21T12:52:36.629Z,3430.78,300.53,COD,2,2,Delivered
182,17635,2026-02-13T12:52:36.629Z,4352.51,222.52,COD,2,2,Delivered
185,22324,2025-12-18T12:52:36.629Z,3492.85,172.11,Wallet,5,8,Delivered
186,23689,2025-09-15T12:52:36.629Z,1995.58,413.22,COD,5,5,Delivered
187,37666,2025-04-05T12:52:36.629Z,333.84,243.94,Credit Card,5,6,Delivered
195,12169,2025-12-26T12:52:36.629Z,2897.97,360.75,COD,3,5,Delivered
209,42964,2025-12-06T12:52:36.629Z,4870.8,269.95,Wallet,2,4,Delivered
220,49377,2025-04-04T12:52:36.629Z,3980.08,239.93,Wallet,2,2,Delivered
246,30396,2025-05-09T12:52:36.629Z,3514.96,114.75,Wallet,3,6,Delivered
247,48011,2026-01-26T12:52:36.629Z,2594.65,426.64,Credit Card,3,5,Delivered
256,956,2026-02-12T12:52:36.629Z,2172.35,218.8,COD,2,5,Delivered
260,17329,2026-02-11T12:52:36.629Z,1739.85,113.64,Wallet,3,5,Returned
264,28806,2025-10-05T12:52:36.629Z,634.54,346.58,Wallet,5,5,Returned
274,7641,2025-04-24T12:52:36.629Z,775.91,296.64,UPI,4,5,Delivered
279,36768,2025-07-26T12:52:36.629Z,3856.5,252.95,Wallet,3,3,Delivered
293,783,2025-05-21T12:52:36.629Z,2609.82,450.74,COD,2,2,Delivered
299,26417,2025-10-02T12:52:36.629Z,4538.09,491.17,UPI,4,7,Delivered
306,6080,2026-01-01T12:52:36.629Z,839.31,7.55,Credit Card,4,4,Delivered
331,39088,2025-08-27T12:52:36.629Z,2140.9,112.99,UPI,2,2,Delivered
348,2,2025-11-19T12:52:36.629Z,2252.16,161.01,COD,2,2,Delivered
370,42904,2025-10-10T12:52:36.629Z,4389.67,79.46,COD,5,6,Delivered
395,10092,2025-06-03T12:52:36.629Z,4994.41,303.17,Wallet,4,4,Delivered
399,19618,2025-07-20T12:52:36.629Z,651.51,326.22,Wallet,3,3,Delivered
401,27559,2025-06-26T12:52:36.629Z,3276.02,336.12,COD,5,5,Delivered
405,36044,2025-03-24T12:52:36.629Z,2623.61,8.83,Credit Card,5,8,Delivered
419,23154,2025-09-18T12:52:36.629Z,2197.84,286.52,UPI,4,5,Cancelled
432,17130,2025-04-25T12:52:36.629Z,3183.03,387.17,Credit Card,5,5,Delivered
440,16261,2025-07-24T12:52:36.629Z,4948.67,48.08,UPI,2,2,Delivered
450,7428,2025-04-21T12:52:36.629Z,2682.29,441.18,Wallet,2,4,Delivered
457,26386,2025-03-30T12:52:36.629Z,2377.41,460.36,UPI,5,6,Delivered
500,45696,2025-11-23T12:52:36.629Z,498.82,157.89,Credit Card,4,7,Delivered
509,19396,2025-12-08T12:52:36.629Z,2580.32,300.38,Credit Card,3,3,Returned
510,2432,2025-04-07T12:52:36.629Z,417.32,54.55,Wallet,2,2,Delivered
514,39520,2026-02-17T12:52:36.629Z,3771.06,499.49,Wallet,3,3,Delivered
520,47227,2026-01-07T12:52:36.629Z,2103.03,171.95,COD,5,5,Delivered
528,36788,2025-08-18T12:52:36.629Z,2450,235.4,COD,3,3,Delivered
536,3931,2025-11-19T12:52:36.629Z,3957.27,27.58,Credit Card,3,3,Returned
545,21969,2025-03-06T12:52:36.629Z,1995.89,291.06,UPI,5,5,Delivered
558,2995,2025-10-24T12:52:36.629Z,2939.76,340.91,COD,5,5,Delivered
584,20769,2025-03-18T12:52:36.629Z,2367.72,393.83,Credit Card,5,6,Delivered
602,3009,2025-08-05T12:52:36.629Z,1606.16,407.21,COD,2,2,Cancelled
604,16277,2026-02-13T12:52:36.629Z,1038.66,60.93,Credit Card,3,3,Returned
