session_id,customer_id,session_start_ts,session_duration_sec,pages_viewed,added_to_cart_flag,checkout_started_flag,device_type
3,32780,2025-09-16T12:52:48.896Z,618,10,0,1,Android
8,47763,2025-07-29T12:52:48.896Z,703,10,0,0,iOS
12,3285,2025-05-19T12:52:48.896Z,36,6,1,0,Android
18,8360,2025-12-28T12:52:48.896Z,1117,6,0,0,iOS
23,11269,2025-08-04T12:52:48.896Z,1150,6,0,0,iOS
37,7365,2025-05-01T12:52:48.896Z,20,2,1,0,iOS
45,17710,2025-06-26T12:52:48.896Z,973,7,1,0,Android
46,35287,2025-11-23T12:52:48.896Z,1041,3,1,0,iOS
51,26788,2025-04-02T12:52:48.896Z,729,3,0,0,Web
60,7365,2025-12-11T12:52:48.896Z,235,11,0,0,Web
66,16501,2026-01-14T12:52:48.896Z,557,3,0,0,iOS
67,49983,2025-10-31T12:52:48.896Z,1026,10,1,0,Android
72,15375,2025-07-10T12:52:48.896Z,690,7,0,0,Android
73,48460,2026-01-28T12:52:48.896Z,132,4,0,0,Web
84,45436,2025-11-02T12:52:48.896Z,1002,7,0,0,Web
92,43630,2025-04-14T12:52:48.896Z,1132,11,0,0,Android
97,3213,2025-04-02T12:52:48.896Z,757,2,0,0,Web
98,11211,2025-11-07T12:52:48.896Z,470,1,0,0,Android
105,10042,2025-05-25T12:52:48.896Z,164,9,1,0,Android
107,42624,2025-07-03T12:52:48.896Z,78,11,0,0,Android
108,4727,2025-12-30T12:52:48.896Z,352,5,1,0,iOS
112,29764,2025-06-10T12:52:48.896Z,879,8,1,0,Web
113,3647,2025-10-18T12:52:48.896Z,1138,3,0,0,Web
118,7057,2025-05-18T12:52:48.896Z,962,3,0,0,Web
137,44902,2025-10-07T12:52:48.896Z,55,2,0,0,Android
144,19535,2025-05-04T12:52:48.896Z,492,7,1,0,iOS
164,45575,2025-06-03T12:52:48.896Z,767,11,0,1,Web
166,43785,2025-09-30T12:52:48.896Z,532,1,1,0,Web
167,26739,2025-11-07T12:52:48.896Z,511,4,0,0,Web
173,37876,2025-12-27T12:52:48.896Z,962,3,0,0,Web
174,24892,2025-08-04T12:52:48.896Z,442,6,0,1,iOS
177,45736,2025-12-20T12:52:48.896Z,542,8,1,0,Web
194,28937,2025-06-02T12:52:48.896Z,478,3,0,0,iOS
211,47879,2025-07-08T12:52:48.896Z,1040,2,0,0,iOS
